b1,b2,b3,b4,b5,b6,green_0,green_2p,green_3p,green_4p,green_5p,green_6,red_0,red_2p,red_3p,red_4p,red_5p,red_6,blue_0,blue_2p,blue_3p,blue_4p,blue_5p,blue_6,colours,total
13,36,39,21,16,14,4,0,0,2,77,5689,24,0,3,3,113,1467,9,1,4,4,212,452,231,139
47,48,34,28,40,17,5,1,1,3,78,5690,25,0,0,4,114,1468,10,0,5,5,213,453,312,214
25,38,11,1,20,6,6,2,2,4,79,5691,26,0,1,5,115,1469,11,0,0,6,214,454,213,101
30,43,20,18,39,1,7,0,0,5,80,5692,27,0,2,6,116,1470,12,1,1,7,215,455,231,151
13,23,41,36,27,32,8,0,1,6,81,5693,28,1,3,7,117,1471,13,0,0,8,216,456,123,172
20,47,39,7,12,22,9,0,2,7,82,5694,29,0,4,8,118,1472,14,0,1,9,217,457,222,147
8,16,15,27,18,46,10,0,0,8,83,5695,30,0,5,9,119,1473,15,1,2,10,218,458,231,130
12,37,24,4,49,5,11,0,1,9,84,5696,31,0,6,10,120,1474,16,2,3,11,219,459,221,131
21,19,28,34,13,42,12,0,2,10,85,5697,32,0,0,0,121,1475,0,3,4,12,220,460,420,157
2,12,42,49,7,10,13,0,3,11,86,5698,33,0,1,1,122,1476,1,4,5,13,221,461,221,122
16,10,31,2,13,26,0,1,4,12,87,5699,34,0,0,0,123,1477,2,0,6,14,222,462,402,98
45,19,2,29,11,12,1,0,5,13,88,5700,35,1,1,1,124,1478,3,0,0,15,223,463,123,118
26,6,36,46,33,1,2,0,0,14,89,5701,36,0,2,2,125,1479,4,1,1,16,224,464,231,148
16,25,38,4,47,41,0,1,1,15,90,5702,37,0,0,3,126,1480,5,0,0,17,225,465,303,171
1,49,19,14,48,42,1,0,2,16,91,5703,38,0,1,4,127,1481,6,1,1,18,226,466,221,173
24,14,25,7,28,40,2,1,3,17,92,5704,39,0,0,0,128,1482,7,2,2,19,227,467,411,138
13,2,39,34,24,45,3,0,0,18,93,5705,40,0,1,1,129,1483,8,3,3,20,228,468,231,157
44,18,33,39,40,26,4,0,0,19,94,5706,41,1,2,2,130,1484,9,0,4,21,229,469,132,200
15,3,12,25,6,32,5,0,0,0,95,5707,42,2,3,3,131,1485,10,1,5,22,230,470,141,93
27,14,11,5,40,36,6,0,1,1,96,5708,43,3,4,4,132,1486,11,0,0,23,231,471,123,133
26,13,29,22,39,38,7,1,2,2,97,5709,44,0,5,5,133,1487,12,0,0,24,232,472,213,167
4,24,45,1,49,27,8,0,0,3,98,5710,45,0,6,6,134,1488,0,1,1,25,233,473,230,150
20,22,32,1,35,43,0,1,1,4,99,5711,46,0,0,7,135,1489,1,0,0,26,234,474,303,153
22,13,48,44,34,4,1,2,2,5,100,5712,47,0,0,0,136,1490,2,1,1,27,235,475,411,165
21,42,49,30,35,13,2,0,0,6,101,5713,48,1,1,1,137,1491,3,2,2,28,236,476,131,190
37,19,45,35,41,28,3,1,1,7,102,5714,49,0,0,2,138,1492,4,0,3,29,237,477,312,205
48,13,12,16,26,47,4,0,2,8,103,5715,50,0,1,3,139,1493,5,0,4,30,238,478,222,162
