none_T100,green_T100,red_T100,blue_T100,green_LD,red_LD,blue_LD
29,24,28,19,0,4,2
29,24,28,19,1,5,0
29,23,28,20,2,6,0
29,23,29,19,3,0,1
28,23,30,19,4,0,2
27,23,31,19,5,0,3
27,24,30,19,0,1,4
27,24,29,20,1,2,0
27,24,29,20,2,3,0
27,23,29,21,3,4,0
27,24,29,20,0,5,1
28,23,29,20,2,7,0
28,22,29,21,3,8,0
29,21,29,21,4,9,1
29,21,29,21,5,0,2
30,21,29,20,6,1,3
31,21,28,20,7,2,4
31,21,28,20,8,0,5
31,22,27,20,0,1,6
31,22,27,20,1,0,7
30,23,27,20,0,1,8
30,23,27,20,1,0,9
29,23,28,20,2,0,10
29,22,28,21,3,1,0
29,22,28,21,4,2,0
28,23,28,21,0,3,1
29,22,28,21,1,4,2
29,22,28,21,2,0,3
29,21,29,21,3,0,4
29,22,28,21,0,1,5
29,23,28,20,0,2,6
29,23,28,20,1,3,0
29,22,29,20,2,0,1
28,22,30,20,3,0,2
28,21,30,21,4,1,0
27,22,30,21,0,2,1
27,22,30,21,1,3,2
26,23,30,21,0,4,3
26,23,30,21,0,5,4
25,24,30,21,0,6,5
25,23,30,22,1,7,0
25,24,30,21,0,8,1
25,24,30,21,1,9,0
25,25,30,20,0,10,1
24,25,30,21,1,11,0
25,25,30,20,2,12,1
25,26,30,19,0,13,2
24,26,31,19,1,0,3
24,26,30,20,2,1,0
25,25,30,20,3,2,1
25,25,30,20,4,0,2
25,25,30,20,0,1,3
25,25,29,21,1,2,0
24,25,30,21,2,0,1
23,26,30,21,0,1,2
24,25,30,21,1,2,3
23,26,30,21,0,3,4
23,27,29,21,0,4,5
23,27,30,20,1,0,6
23,27,30,20,2,0,7
23,28,29,20,0,1,8
24,28,29,19,1,2,9
24,28,28,20,2,3,0
23,28,28,21,3,4,0
23,27,28,22,4,5,0
22,27,28,23,5,6,0
21,27,28,24,6,7,0
21,27,27,25,7,8,0
22,26,27,25,8,9,1
22,26,27,25,9,0,2
21,27,27,25,0,1,3
21,27,27,25,1,0,4
21,27,27,25,2,1,5
20,27,27,26,3,2,0
20,27,26,27,4,3,0
20,27,25,28,5,4,0
19,27,26,28,6,0,1
19,26,27,28,7,0,2
18,26,28,28,8,0,3
18,26,29,27,9,0,4
18,27,28,27,0,1,5
18,26,28,28,1,2,0
19,25,28,28,2,3,1
19,26,28,27,0,4,2
19,26,27,28,1,5,0
18,26,27,29,2,6,0
17,27,27,29,0,7,1
17,27,27,29,1,8,2
17,28,26,29,0,9,3
17,28,26,29,0,10,4
16,28,26,30,1,11,0
16,28,26,30,2,12,1
16,29,25,30,0,13,2
16,29,25,30,0,14,3
16,29,25,30,1,0,4
16,29,24,31,2,1,0
16,29,24,31,0,2,1
16,29,25,30,1,0,2
15,29,25,31,2,1,0
16,28,25,31,3,2,1
17,28,25,30,4,3,2
17,28,26,29,5,0,3
17,29,25,29,0,1,4
18,29,24,29,1,2,5
18,29,24,29,2,0,6
18,28,25,29,3,0,7
18,28,26,28,4,0,8
18,28,27,27,5,0,9
18,28,28,26,6,0,10
18,27,28,27,7,1,0
17,28,28,27,0,2,1
17,29,28,26,0,3,2
17,29,29,25,1,0,3
16,30,29,25,0,1,4
16,30,28,26,1,2,0
15,30,29,26,2,0,1
14,30,30,26,3,0,2
15,30,29,26,4,1,3
15,29,29,27,5,2,0
15,29,29,27,6,0,1
15,28,29,28,7,1,0
16,28,28,28,8,2,1
16,29,27,28,0,3,2
16,29,27,28,1,4,0
16,29,28,27,2,0,1
17,28,28,27,3,1,2
17,28,28,27,4,2,3
17,28,27,28,5,3,0
17,28,27,28,6,0,1
18,27,27,28,7,1,2
18,26,27,29,8,2,0
18,27,27,28,0,3,1
18,28,26,28,0,4,2
19,28,25,28,1,5,3
19,28,25,28,2,6,0
19,27,25,29,3,7,0
18,27,25,30,4,8,0
18,26,25,31,5,9,0
18,26,25,31,0,10,1
18,25,25,32,1,11,0
18,25,26,31,2,0,1
19,24,26,31,3,1,2
19,24,26,31,4,2,0
20,23,26,31,5,3,1
21,23,26,30,6,4,2
20,23,26,31,7,5,0
20,23,26,31,0,6,1
21,23,25,31,1,7,2
21,24,25,30,0,8,3
21,24,25,30,1,9,4
21,24,24,31,2,10,0
21,24,24,31,0,11,1
22,24,24,30,1,12,2
23,24,23,30,2,13,3
24,23,23,30,3,14,4
23,23,24,30,4,0,5
23,22,24,31,5,1,0
23,22,24,31,0,2,1
23,22,24,31,1,0,2
24,22,23,31,2,1,3
24,21,24,31,3,0,4
23,21,24,32,4,1,0
24,21,24,31,5,2,1
24,22,24,30,0,3,2
25,22,24,29,1,4,3
25,23,24,28,0,5,4
25,23,25,27,1,0,5
25,23,26,26,2,0,6
24,24,26,26,0,1,7
24,24,25,27,1,2,0
24,23,25,28,2,3,0
25,23,24,28,3,4,1
24,23,25,28,4,0,2
25,23,25,27,5,1,3
25,23,25,27,6,2,0
25,23,26,26,7,0,1
26,23,25,26,8,1,2
