
logo
League 1536	
ResultsLeague Table
MNC	2-0	TOT
WEEK 25   18:48:00
LIV	4-2	WOL
BRI	1-0	SHU
FOR	1-1	BOU
EVE	2-2	NWC
BUR	1-1	CHE
TOT	2-1	WHU
MNC	5-0	LUT
CRY	2-3	ARS
ASV	2-0	FUL
BRN	3-0	MNU
WEEK 26   18:50:00
CHE	1-0	FOR
BOU	1-4	BRN
FUL	1-1	BUR
SHU	1-1	EVE
WOL	0-3	ASV
WHU	1-2	MNC
ARS	2-2	LIV
LUT	1-1	CRY
MNU	2-1	BRI
NWC	3-1	TOT
WEEK 27   18:52:00
BRN	0-1	CHE
FOR	0-1	FUL
BRI	0-0	BOU
ASV	1-2	ARS
TOT	3-0	SHU
LIV	3-1	CRY
BUR	0-0	WOL
MNC	4-1	NWC
EVE	0-1	MNU
WHU	2-1	LUT
WEEK 28   18:54:00
MNU	0-0	TOT
FUL	2-0	BRN
CHE	6-0	BRI
ARS	3-1	BUR
WOL	1-0	FOR
BOU	2-0	EVE
NWC	1-4	WHU
LUT	1-1	LIV
SHU	1-2	MNC
CRY	4-1	ASV
WEEK 29   18:56:00
BRN	0-2	WOL
NWC	0-0	LUT
EVE	1-1	CHE
BUR	3-1	CRY
ASV	2-2	LIV
TOT	0-1	BOU
FOR	1-2	ARS
WHU	2-1	SHU
BRI	1-2	FUL
MNC	0-0	MNU
