
logo
League 6214	
ResultsLeague Table
WEEK 1   19:36:00
ASV	1-0	WOL
MNC	3-3	LIV
FUL	0-2	BOU
WHU	3-0	FOR
SOU	0-1	NWC
CRY	1-1	EVE
CHE	2-2	BRI
BRN	0-3	LEE
ARS	2-1	TOT
MNU	1-0	LEI
WEEK 2   19:38:00
NWC	4-1	CRY
FOR	0-4	LIV
BOU	1-2	MNC
WHU	1-1	BRN
TOT	2-0	SOU
WOL	1-1	ARS
LEI	3-1	CHE
LEE	1-1	MNU
EVE	0-0	FUL
BRI	2-1	ASV
WEEK 3   19:40:00
ASV	1-1	LEI
BRN	3-1	FOR
FUL	0-1	NWC
ARS	1-1	BRI
SOU	1-2	WOL
CHE	3-1	LEE
CRY	0-1	TOT
LIV	2-0	BOU
MNU	1-2	WHU
MNC	2-1	EVE
WEEK 4   19:42:00
EVE	0-2	LIV
FOR	1-0	BOU
BRN	1-2	MNU
WOL	2-2	CRY
BRI	1-1	SOU
TOT	3-0	FUL
WHU	1-0	CHE
LEE	2-1	ASV
NWC	0-0	MNC
LEI	1-2	ARS
WEEK 5   19:44:00
LIV	2-1	NWC
SOU	2-0	LEI
FUL	0-1	WOL
ASV	1-0	WHU
ARS	0-0	LEE
CHE	5-0	BRN
MNU	3-1	FOR
CRY	0-1	BRI
BOU	1-1	EVE
MNC	3-1	TOT
WEEK 6   19:46:00
BRI	3-1	FUL
WHU	0-2	ARS
FOR	1-0	EVE
MNU	2-1	CHE
LEI	1-0	CRY
NWC	1-1	BOU
LEE	2-1	SOU
WOL	0-1	MNC
TOT	0-1	LIV
BRN	2-3	ASV
WEEK 7   19:48:00
BOU	2-1	TOT
SOU	2-2	WHU
ASV	0-1	MNU
MNC	0-1	BRI
ARS	6-0	BRN
EVE	3-1	NWC
LIV	6-0	WOL
CRY	1-1	LEE
CHE	4-1	FOR
FUL	0-2	LEI
WEEK 8   19:50:00
MNU	3-3	ARS
WOL	0-0	BOU
FOR	1-3	NWC
TOT	2-0	EVE
LEI	2-0	MNC
LEE	1-0	FUL
