
logo
League 1576	
ResultsLeague Table
FOR	2-2	TOT
WEEK 25   21:28:00
BRI	3-1	BUR
BOU	2-0	CHE
BRN	2-0	FOR
WHU	1-1	CRY
MNU	5-0	SHU
ASV	3-1	EVE
ARS	0-0	FUL
TOT	1-4	NWC
WOL	2-0	LUT
MNC	3-1	LIV
WEEK 26   21:30:00
CHE	0-1	WHU
SHU	2-2	TOT
CRY	1-3	ASV
FUL	0-1	BOU
FOR	1-1	MNC
EVE	1-1	BRI
NWC	1-2	BRN
LUT	1-4	MNU
BUR	2-3	WOL
LIV	0-1	ARS
WEEK 27   21:32:00
TOT	1-0	LUT
MNU	5-1	BUR
BRI	5-0	CRY
WOL	3-0	EVE
ASV	1-3	CHE
WHU	2-0	FUL
BOU	0-4	ARS
BRN	1-0	SHU
FOR	2-3	LIV
MNC	1-1	NWC
WEEK 28   21:34:00
CRY	2-1	WOL
FUL	2-3	ASV
SHU	0-3	MNC
CHE	0-0	BRI
NWC	3-1	FOR
LUT	1-0	BRN
ARS	1-1	WHU
EVE	0-1	MNU
BUR	1-0	TOT
LIV	1-0	BOU
WEEK 29   21:36:00
TOT	0-0	EVE
WHU	1-1	BOU
FOR	1-1	SHU
MNC	2-0	LUT
BRN	2-2	BUR
ASV	0-1	ARS
BRI	3-1	FUL
WOL	0-1	CHE
MNU	3-2	CRY
NWC	0-3	LIV
WEEK 30   21:38:00
BOU	0-1	ASV
SHU	2-4	NWC
BUR	2-1	MNC
EVE	3-0	BRN
ARS	1-1	BRI
LIV	3-1	WHU
CRY	1-1	TOT
LUT	1-3	FOR
FUL	1-1	WOL
CHE	1-0	MNU
WEEK 31   21:40:00
BRN	1-0	CRY
SHU	1-4	LIV
MNU	1-1	FUL
NWC	3-0	LUT
TOT	2-2	CHE
FOR	3-2	BUR
BRI	2-3	BOU
MNC	2-2	EVE
ASV	2-2	WHU
WOL	0-1	ARS
WEEK 32   21:42:00
EVE	0-3	FOR
LIV	2-1	ASV
BUR	1-2	NWC
BOU	0-2	WOL
CHE	2-2	BRN
WHU	3-0	BRI
FUL	1-3	TOT
LUT	2-0	SHU
CRY	2-3	MNC
ARS	0-1	MNU
WEEK 33   21:44:00
BRN	2-0	FUL
NWC	1-0	EVE
WOL	2-1	WHU
MNU	3-0	BOU
MNC	3-1	CHE
SHU	0-1	BUR
LUT	1-1	LIV
TOT	1-4	ARS
BRI	2-2	ASV
FOR	0-0	CRY
WEEK 34   21:46:00
ASV	1-0	WOL
BUR	0-0	LUT
CRY	1-2	NWC
ARS	1-0	BRN
LIV	2-2	BRI
BOU	0-4	TOT
FUL	0-2	MNC
WHU	2-0	MNU
EVE	1-0	SHU
CHE	0-2	FOR
WEEK 35   21:48:00
LUT	0-1	EVE
TOT	2-2	WHU
BUR	0-2	LIV
MNC	1-1	ARS
MNU	1-3	ASV
BRN	2-0	BOU
NWC	1-1	CHE
FOR	0-1	FUL
WOL	2-2	BRI
SHU	0-4	CRY
WEEK 36   21:50:00
ARS	1-0	FOR
CHE	2-1	SHU
CRY	1-1	LUT
ASV	0-1	TOT
BOU	0-0	MNC
BRI	2-3	MNU
LIV	1-2	WOL
EVE	1-1	BUR
WHU	3-0	BRN
FUL	1-1	NWC
WEEK 37   21:52:00
LUT	1-1	CHE
TOT	1-0	BRI
NWC	1-2	ARS
BUR	3-0	CRY
SHU	4-1	FUL
FOR	2-2	BOU
MNU	2-0	WOL
BRN	4-1	ASV
EVE	1-3	LIV
MNC	4-2	WHU
WEEK 38   21:54:00
LIV	1-1	MNU
FUL	1-1	LUT
CRY	2-0	EVE
WOL	2-1	TOT
BOU	3-0	NWC
ASV	2-4	MNC
BRI	3-0	BRN
WHU	1-3	FOR
ARS	2-0	SHU
CHE	1-1	BUR
