combination,balance
10211,"(7998, 370, -8110000, (1, 0, 2, 1, 1))"
11021,"(7997, 377, -9025000, (1, 1, 0, 2, 1))"
01121,"(7997, 358, -6555000, (0, 1, 1, 2, 1))"
11201,"(7994, 370, -8130000, (1, 1, 2, 0, 1))"
01211,"(7993, 365, -7485000, (0, 1, 2, 1, 1))"
11102,"(7990, 371, -8280000, (1, 1, 1, 0, 2))"
02111,"(7990, 367, -7760000, (0, 2, 1, 1, 1))"
11120,"(7989, 367, -7765000, (1, 1, 1, 2, 0))"
21110,"(7986, 367, -7780000, (2, 1, 1, 1, 0))"
11210,"(7984, 372, -8440000, (1, 1, 2, 1, 0))"
20111,"(7971, 381, -9675000, (2, 0, 1, 1, 1))"
20002,"(7966, 365, -7620000, (2, 0, 0, 0, 2))"
02002,"(7952, 335, -3790000, (0, 2, 0, 0, 2))"
00202,"(7935, 343, -4915000, (0, 0, 2, 0, 2))"
20200,"(7933, 333, -3625000, (2, 0, 2, 0, 0))"
20020,"(7927, 360, -7165000, (2, 0, 0, 2, 0))"
22000,"(7919, 337, -4215000, (2, 2, 0, 0, 0))"
00022,"(7909, 350, -5955000, (0, 0, 0, 2, 2))"
11121,"(7908, 333, -3750000, (1, 1, 1, 2, 1))"
02020,"(7907, 363, -7655000, (0, 2, 0, 2, 0))"
00220,"(7904, 352, -6240000, (0, 0, 2, 2, 0))"
12111,"(7897, 354, -6535000, (1, 2, 1, 1, 1))"
21111,"(7895, 344, -5245000, (2, 1, 1, 1, 1))"
21002,"(7894, 333, -3820000, (2, 1, 0, 0, 2))"
02200,"(7887, 368, -8405000, (0, 2, 2, 0, 0))"
11211,"(7872, 370, -8740000, (1, 1, 2, 1, 1))"
11112,"(7872, 365, -8090000, (1, 1, 1, 1, 2))"
21200,"(7856, 302, 20000, (2, 1, 2, 0, 0))"
20012,"(7852, 359, -7410000, (2, 0, 0, 1, 2))"
20102,"(7852, 358, -7280000, (2, 0, 1, 0, 2))"
20201,"(7846, 306, -550000, (2, 0, 2, 0, 1))"
