combination,balance
3223,985000
3123,865000
5210,810000
5200,780000
5220,635000
0253,580000
5211,580000
1005,570000
1243,560000
2151,535000
5201,535000
0153,520000
1253,490000
5221,455000
5202,450000
2152,440000
5230,430000
3442,430000
1153,420000
4034,420000
2251,400000
2150,385000
4004,380000
4134,375000
2532,375000
1205,370000
0151,370000
0205,365000
2253,350000
2153,350000
0005,345000
5231,345000
5203,335000
4104,320000
0305,315000
2243,315000
0243,315000
1015,310000
1305,305000
3152,305000
3151,305000
2250,300000
0532,290000
4005,285000
5212,285000
5303,275000
5233,275000
3443,275000
4205,270000
0152,270000
1151,265000
5310,255000
5223,255000
0444,250000
4105,250000
5213,250000
4015,250000
4234,245000
0405,245000
5104,240000
4215,235000
4243,235000
5313,230000
5300,230000
0053,230000
0610,230000
1152,230000
0061,230000
2051,225000
1061,220000
1444,220000
4044,215000
3023,215000
3440,215000
0161,210000
1610,210000
4115,210000
1105,205000
1532,205000
0611,205000
5114,205000
4144,205000
2502,200000
1161,200000
1150,200000
0415,200000
3153,195000
2443,195000
1405,195000
2512,195000
0251,190000
4334,190000
1611,190000
2405,190000
3253,190000
2542,185000
2244,180000
1315,180000
0315,180000
4442,175000
0026,175000
2530,175000
0260,175000
2600,175000
1026,170000
3532,170000
1215,165000
2006,165000
5004,165000
0206,165000
5033,165000
2060,165000
0353,160000
1260,160000
2106,160000
2610,160000
1206,160000
3051,160000
2415,160000
0126,160000
0261,160000
2601,160000
2061,160000
0062,155000
4014,155000
1415,155000
3353,155000
1126,155000
0620,155000
5240,150000
1261,150000
5302,150000
0524,150000
2016,150000
1062,150000
3540,150000
2500,150000
2252,145000
4053,145000
2116,145000
0216,145000
0162,145000
1620,145000
5311,145000
4244,145000
2611,145000
2160,145000
1162,140000
4225,140000
1216,140000
2444,140000
5232,140000
2161,140000
0602,140000
3252,135000
0215,135000
3052,135000
5204,135000
3541,135000
0612,135000
1053,135000
1524,130000
0621,130000
5133,130000
5241,130000
4204,130000
2533,125000
5014,125000
1621,125000
4153,125000
0531,125000
2353,125000
3405,125000
4305,125000
1602,125000
1353,120000
5323,120000
5301,120000
1251,120000
4343,120000
2062,120000
1612,120000
3441,120000
1530,120000
0534,120000
0060,115000
2026,115000
2503,115000
4432,115000
0600,115000
4315,115000
0051,115000
0006,115000
3433,110000
3415,110000
2162,110000
0226,110000
5034,110000
4443,110000
2206,110000
3060,110000
1006,110000
2260,110000
5403,110000
4035,110000
0306,110000
1534,110000
2126,110000
3542,105000
5214,105000
3061,105000
3452,105000
1226,105000
2261,105000
5134,105000
2602,105000
4025,105000
0262,105000
1306,105000
2620,105000
5041,100000
5124,100000
0106,100000
1262,100000
3005,100000
3434,100000
0530,100000
2612,100000
1060,100000
0016,95000
1106,95000
0361,95000
4114,95000
0316,95000
1361,95000
1360,95000
0036,95000
0360,95000
4135,95000
1136,95000
1600,95000
0160,95000
2216,95000
2453,95000
5131,95000
0136,95000
3600,95000
3610,95000
1036,95000
3160,95000
1016,90000
4434,90000
2621,90000
0601,90000
3161,90000
3601,90000
3611,90000
5103,90000
5413,90000
1316,90000
2531,90000
0505,85000
5141,85000
2052,85000
5001,85000
5243,85000
4253,85000
0245,80000
2262,80000
0116,80000
1160,80000
0515,80000
4125,80000
2534,80000
2524,80000
1505,80000
5333,80000
0425,80000
1630,75000
1250,75000
2036,75000
1601,75000
0630,75000
0622,75000
1116,75000
6300,75000
2136,75000
1515,75000
3453,75000
3425,75000
0163,75000
3062,75000
0063,75000
0326,70000
5005,70000
3612,70000
3260,70000
1063,70000
2425,70000
2226,70000
2306,70000
1622,70000
5000,70000
3162,70000
5234,70000
1163,70000
3602,70000
5015,65000
5110,65000
0525,65000
1326,65000
1631,65000
6301,65000
6310,65000
3261,65000
2063,65000
0445,65000
5312,65000
3233,65000
5242,65000
0631,65000
2163,65000
0015,65000
3106,60000
3444,60000
2513,60000
2543,60000
0603,60000
2316,60000
3006,60000
4235,60000
3205,60000
1236,60000
0236,60000
5031,60000
1525,60000
6030,60000
2361,60000
2360,60000
4325,60000
6103,60000
1025,60000
6311,55000
2510,55000
5105,55000
1362,55000
2622,55000
0362,55000
0613,55000
3620,55000
6031,55000
1603,55000
6113,55000
6130,55000
3502,55000
2505,55000
0454,50000
3262,50000
3016,50000
5115,50000
4540,50000
3621,50000
2630,50000
3450,50000
2515,50000
6131,50000
0263,50000
3116,50000
5423,50000
1613,50000
2236,45000
0150,45000
3360,45000
3361,45000
3206,45000
2504,45000
1445,45000
1263,45000
1425,45000
5224,45000
1336,45000
2326,45000
2525,45000
2540,45000
1454,45000
0336,45000
0254,45000
2631,45000
4452,45000
4344,45000
4541,45000
4524,45000
4353,45000
2603,45000
4453,40000
3063,40000
3543,40000
6032,40000
2442,40000
1245,40000
3354,40000
3622,40000
3534,40000
6132,40000
3251,40000
3163,40000
5343,40000
2613,40000
1443,40000
4054,40000
2263,40000
4542,40000
3435,40000
2362,40000
2053,35000
6230,35000
2550,35000
3216,35000
3126,35000
0632,35000
0435,35000
6203,35000
2551,35000
1632,35000
1623,35000
4405,35000
5025,35000
0255,35000
2336,35000
3451,35000
6320,35000
5205,35000
3026,35000
0623,35000
0544,30000
2552,30000
0406,30000
5101,30000
1255,30000
5222,30000
5215,30000
0146,30000
0460,30000
6231,30000
3352,30000
6213,30000
5044,30000
4154,30000
1406,30000
3112,30000
0535,30000
5404,30000
4043,30000
4060,30000
4061,30000
1460,30000
1461,30000
3150,30000
3306,30000
2055,30000
5440,30000
0046,30000
4610,30000
1046,30000
6302,30000
0461,30000
4601,30000
3362,30000
4600,30000
4611,30000
1146,30000
4254,25000
4161,25000
1363,25000
2501,25000
3263,25000
5144,25000
0363,25000
3226,25000
4444,25000
6123,25000
2454,25000
0462,25000
6023,25000
4160,25000
5441,25000
5414,25000
5442,25000
3530,25000
1462,25000
6321,25000
1531,25000
1535,25000
1544,25000
4045,25000
2535,25000
4415,25000
2632,25000
1426,25000
4335,25000
1416,25000
4602,25000
3316,25000
2046,25000
6312,25000
4620,25000
2623,25000
4261,25000
0426,25000
3603,25000
5125,25000
0416,25000
2146,25000
3630,25000
4621,25000
4260,25000
3631,25000
4612,25000
3613,25000
6200,20000
5320,20000
2120,20000
0246,20000
4425,20000
2514,20000
4622,20000
2363,20000
5035,20000
1246,20000
6232,20000
6004,20000
6014,20000
3055,20000
5244,20000
5433,20000
5053,20000
2155,20000
2461,20000
2544,20000
3326,20000
2462,20000
2445,20000
3632,20000
4062,20000
2460,20000
3462,15000
0614,15000
4106,15000
6041,15000
6040,15000
5135,15000
2255,15000
3454,15000
3036,15000
0064,15000
0633,15000
3136,15000
5153,15000
3460,15000
0640,15000
5424,15000
2640,15000
0624,15000
5443,15000
6033,15000
6133,15000
0604,15000
3363,15000
6141,15000
3551,15000
3550,15000
4534,15000
5225,15000
3623,15000
1604,15000
6401,15000
4006,15000
0164,15000
4454,15000
1640,15000
1633,15000
0553,15000
2246,15000
3461,15000
1624,15000
1614,15000
0250,15000
6140,15000
0264,15000
4354,15000
6241,15000
1346,15000
1051,15000
4543,15000
5513,15000
6400,15000
4262,15000
4162,15000
0355,15000
6240,15000
5305,15000
6330,15000
1254,15000
2541,15000
0354,15000
4145,15000
5503,15000
0346,15000
3336,10000
6201,10000
6142,10000
4163,10000
2463,10000
1164,10000
3264,10000
5540,10000
5042,10000
3544,10000
4303,10000
1641,10000
1355,10000
3552,10000
3164,10000
4016,10000
5523,10000
3064,10000
2604,10000
2641,10000
2426,10000
3416,10000
0641,10000
5106,10000
1264,10000
2624,10000
4245,10000
6104,10000
5116,10000
5315,10000
4630,10000
6242,10000
2064,10000
3046,10000
4631,10000
4632,10000
2164,10000
6042,10000
6303,10000
6114,10000
5054,10000
0436,10000
4360,10000
4263,10000
4361,10000
5334,10000
6223,10000
4206,10000
5016,10000
2614,10000
3236,10000
4345,10000
5253,10000
3146,10000
5006,10000
3155,10000
1064,10000
2633,10000
3406,10000
1435,10000
3463,10000
1436,10000
4116,10000
6331,10000
4063,10000
6402,10000
6403,10000
0463,10000
2346,10000
4055,10000
2406,10000
3505,10000
0554,10000
2416,10000
5235,10000
6410,10000
2264,10000
1463,10000
3426,10000
6411,10000
3355,5000
3255,5000
6052,5000
4613,5000
6251,5000
2165,5000
0545,5000
6051,5000
6341,5000
0626,5000
0605,5000
2651,5000
6262,5000
4614,5000
3436,5000
6260,5000
2365,5000
6261,5000
6050,5000
3604,5000
2364,5000
2436,5000
6252,5000
1065,5000
0634,5000
2355,5000
3265,5000
3445,5000
0615,5000
0625,5000
5306,5000
5154,5000
0616,5000
5160,5000
5161,5000
5162,5000
4603,5000
3525,5000
6322,5000
4316,5000
0455,5000
3065,5000
2650,5000
2265,5000
3535,5000
0065,5000
0453,5000
3515,5000
4604,5000
3364,5000
3365,5000
6340,5000
0606,5000
5216,5000
5514,5000
4306,5000
4551,5000
4505,5000
5434,5000
4552,5000
6332,5000
6313,5000
4264,5000
6020,5000
1165,5000
2634,5000
5206,5000
0506,5000
3624,5000
5316,5000
6413,5000
0265,5000
5405,5000
6160,5000
6161,5000
6162,5000
1605,5000
