combination,balance
25420,185000
11611,185000
24205,185000
06111,185000
02542,185000
43043,185000
02152,185000
42052,185000
22414,185000
24242,185000
24152,180000
00026,180000
25142,180000
03150,180000
15242,180000
25214,180000
25124,180000
25421,180000
00254,180000
30511,180000
31412,180000
13051,180000
22440,180000
20521,180000
05224,180000
13150,180000
24431,180000
22225,180000
43341,175000
05033,175000
32442,175000
16111,175000
44420,175000
40213,175000
00260,175000
10026,175000
40134,175000
25300,175000
01026,175000
52332,175000
02600,175000
40442,175000
03414,175000
33242,175000
02244,175000
04442,175000
13433,175000
22325,175000
26000,175000
03051,170000
00435,170000
15224,170000
41442,170000
12253,170000
35320,170000
10531,170000
11244,170000
34401,170000
25232,170000
11026,170000
10434,170000
23443,170000
02254,170000
23532,170000
41141,170000
52322,170000
20415,170000
30412,170000
20513,170000
44421,170000
10260,170000
52004,170000
03532,170000
50024,170000
00126,165000
53002,165000
12542,165000
20600,165000
32531,165000
50103,165000
50040,165000
50330,165000
26001,165000
41433,165000
31523,165000
53112,165000
12502,165000
31531,165000
22043,165000
30522,165000
12150,165000
21434,165000
25322,165000
40343,165000
03352,165000
41403,165000
25323,165000
31532,165000
21432,165000
20060,165000
02060,165000
12443,165000
02610,160000
02061,160000
02501,160000
20061,160000
24051,160000
30510,160000
30152,160000
24215,160000
03530,160000
02601,160000
26010,160000
21060,160000
24150,160000
51103,160000
26100,160000
20610,160000
23235,160000
01260,160000
01126,160000
31513,160000
14052,160000
12600,160000
00261,160000
00353,160000
10254,160000
12314,160000
12060,160000
12254,160000
10126,160000
10261,155000
52014,155000
22533,155000
03235,155000
22524,155000
20052,155000
12061,155000
14150,155000
34242,155000
24025,155000
00620,155000
13153,155000
11405,155000
11260,155000
35321,155000
53001,155000
11126,155000
30512,155000
20601,155000
52104,155000
00062,155000
40140,155000
33530,155000
06200,155000
04151,155000
25303,155000
21061,155000
14442,155000
15023,155000
04152,155000
04053,150000
41343,150000
50124,150000
30252,150000
10620,150000
13532,150000
25041,150000
02541,150000
20160,150000
25000,150000
00524,150000
04005,150000
35400,150000
51131,150000
53020,150000
13404,150000
12610,150000
42152,150000
01261,150000
00152,150000
12601,150000
26011,150000
05240,150000
01062,150000
52400,150000
26101,150000
43233,150000
01254,150000
14051,150000
10062,150000
20611,150000
40252,150000
22235,145000
26110,145000
21415,145000
53032,145000
50204,145000
11261,145000
33531,145000
20161,145000
02422,145000
11062,145000
02325,145000
21160,145000
53110,145000
02160,145000
21600,145000
42440,145000
02611,145000
01620,145000
01053,145000
15033,145000
22520,145000
01435,145000
22425,145000
16200,145000
40530,145000
06201,145000
00162,145000
35401,145000
31502,145000
05042,145000
24005,145000
24125,140000
10435,140000
04225,140000
10162,140000
11620,140000
12611,140000
42441,140000
06020,140000
30402,140000
30352,140000
01135,140000
52320,140000
40531,140000
24440,140000
21610,140000
21601,140000
52032,140000
44323,140000
03252,140000
05233,140000
02444,140000
12160,140000
25224,140000
52401,140000
00602,140000
25242,140000
51042,140000
21161,140000
25422,140000
00434,140000
42250,140000
13352,140000
50041,140000
05133,140000
01225,140000
52114,140000
02161,140000
01162,140000
34402,135000
30520,135000
03541,135000
26111,135000
06120,135000
42251,135000
00612,135000
23434,135000
51004,135000
50331,135000
11162,135000
52040,135000
12161,135000
11135,135000
35411,135000
14053,135000
42423,135000
32520,135000
02150,135000
34005,135000
25033,135000
35410,135000
10530,135000
21611,135000
12514,135000
25001,135000
16201,135000
10602,135000
51024,135000
06210,130000
44024,130000
02441,130000
50333,130000
04153,130000
15240,130000
40053,130000
23242,130000
05241,130000
24441,130000
01524,130000
20523,130000
30051,130000
42124,130000
42040,130000
11254,130000
10621,130000
51330,130000
05142,130000
10612,130000
50111,130000
24151,130000
25141,130000
00621,130000
41252,130000
52410,130000
06102,130000
12541,130000
43032,130000
34050,125000
43050,125000
03405,125000
25302,125000
23530,125000
05310,125000
10353,125000
02533,125000
25330,125000
43342,125000
22452,125000
41530,125000
12051,125000
52041,125000
00153,125000
11621,125000
02353,125000
43051,125000
04305,125000
31352,125000
14225,125000
31533,125000
15233,125000
16020,125000
20031,125000
16210,125000
01602,125000
50140,125000
01621,125000
13541,125000
15042,125000
06021,120000
25133,120000
14152,120000
52411,120000
51204,120000
53010,120000
06112,120000
34410,120000
11602,120000
24442,120000
41531,120000
03053,120000
13530,120000
24252,120000
53230,120000
50312,120000
24105,120000
02026,120000
43143,120000
24015,120000
20620,120000
02062,120000
16120,120000
16102,120000
43430,120000
01353,120000
01612,120000
06211,120000
40315,120000
20345,120000
00534,120000
12510,120000
44124,120000
43333,120000
50031,120000
34051,120000
43313,120000
34015,120000
41053,120000
05340,120000
15300,120000
12026,115000
42442,115000
20260,115000
00510,115000
06000,115000
04105,115000
11612,115000
25030,115000
04315,115000
50214,115000
04015,115000
12043,115000
44422,115000
11422,115000
01422,115000
13405,115000
50034,115000
51124,115000
02126,115000
16211,115000
12444,115000
11435,115000
05304,115000
30335,115000
30524,115000
00060,115000
31335,115000
40424,115000
43431,115000
14305,115000
25313,115000
06121,115000
14153,115000
34105,115000
00226,115000
12062,115000
43151,115000
43150,115000
41134,115000
00600,115000
44320,115000
10534,115000
14005,115000
01501,115000
44431,110000
15241,110000
51333,110000
15133,110000
05034,110000
10060,110000
40532,110000
40350,110000
44430,110000
16112,110000
40153,110000
03415,110000
15034,110000
